"state","county","trump","clinton","romney","obama","voting_population","white_pct","black_pct","hispanic_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","median_income","lesscollege_pct","rural_pct"
"Missouri","St. Francois",17468,6250,13248,8829,51760,92.1697116110524,4.71689566661634,1.43439528914389,0.619054808998943,46.1331722784237,37.8317982787256,15.2196889627057,41461,86.2366992399566,39.76346027326
"Missouri","St. Louis County",202434,286704,224742,297097,746445,67.3536819381147,23.4950427760454,2.69928839849684,6.88544415127529,52.5877508595187,37.6225313824258,16.4700767570161,61103,57.6179102567086,1.13799033789344
"Missouri","Saline",5977,2789,5104,3790,17145,81.2009993969156,5.28129576979409,9.481347462738,5.10898595675024,50.0861549065219,41.1734298268286,16.8217454984061,40645,81.1529054009387,45.8065896448438
"Missouri","Schuyler",1505,354,1174,697,3245,97.4522292993631,1.06915377616015,0.341219290263876,0.682438580527753,50.9781619654231,39.1947224749773,18.9717925386715,37583,87.4526025508445,100
"Missouri","Scotland",1525,365,1246,643,3505,97.6292662987942,1.67586347843859,0.326997751890456,0,51.1955855303495,41.8557122419783,18.5775597792765,41336,85.9980775392502,100
"Missouri","Scott",13168,3575,11623,5122,29475,84.0565215161307,12.119813304611,2.09519413243063,0.910396471251988,51.4207313945735,38.4700210288762,16.6076832333179,40276,86.1024903489516,41.5529075553061
"Missouri","Shannon",2966,776,2262,1302,6405,94.3071705426357,0.193798449612403,1.76841085271318,0.0968992248062016,50.8720930232558,35.719476744186,19.4767441860465,32284,84.9635796045786,100
"Missouri","Shelby",2524,606,2188,966,4690,96.2264150943396,1.82173064411191,1.51268705270007,0.5530253741054,50.1463890696161,35.7514638906962,20.0878334417697,41351,86.0174487149257,100
"Missouri","Stoddard",11079,1876,9496,3153,23110,95.8171075600913,1.54088894856989,1.57110245736538,0.439774405800994,51.2924667651403,35.7358667919968,19.1721498590036,38096,86.4282285165627,69.7911105178857
"Missouri","Stone",13158,2887,11787,3923,25570,95.3360900086547,0.13783376606725,1.97454883482386,1.13472449273969,50.9664390806808,27.4641792480046,27.3487835368785,41944,83.1421970174333,88.6870380721694
"Missouri","Sullivan",1884,526,1610,908,4625,78.1639650872818,1.35598503740648,18.3135910224439,8.46321695760598,49.2674563591022,35.8322942643392,18.75,42639,88.4113411341134,100
"Missouri","Taney",18276,4373,15746,5479,41110,89.7981542346759,0.857890925296641,5.37017436354521,3.55597645442222,51.3137615360333,37.2551204204037,19.7017807735874,38040,81.5530834863376,43.8606676342525
"Missouri","Texas",8875,1728,7618,2871,19580,91.3779680809654,1.75554690541067,1.99688594783963,0.724017127286882,48.6142467886337,36.4421954067731,19.174776177501,35730,86.509009009009,99.2117809904645
"Missouri","Vernon",6533,1707,5758,2580,15580,94.2455365713189,0.959877135726627,2.03973891341908,1.16625071990785,51.0030716068343,38.3854866577078,17.5129583413323,40655,83.765534085195,58.2588969232951
"Missouri","Warren",11111,3915,9150,5219,24925,92.0787023130069,2.1117452688495,3.16611595073596,1.82937819164914,49.6034845298889,38.0294382697507,16.3532592370081,51509,81.7910840310349,63.0393996247655
"Missouri","Washington",7048,1926,5071,3417,19170,94.5044396448284,2.37580993520518,0.315974722022238,0.211983041356691,48.6641068714503,36.9250459963203,15.2027837772978,36701,92.0463768115942,80.476284977178
"Missouri","Wayne",4658,948,3790,1813,10510,95.6075256727382,0.674612098043625,1.46165954576119,0.562176748369687,50.228618544337,32.7936436548984,21.9248931864178,33954,88.1466860585913,100
"Missouri","Webster",12840,3177,10708,4409,26860,94.6540795684423,1.16250842886042,1.87727579231288,0.879298718813216,49.068105192178,40.6985839514498,14.484153742414,44814,83.8051294841418,73.9296171482239
"Missouri","Worth",808,195,664,341,1645,96.2154294032023,0,1.60116448326055,0.582241630276565,52.2561863173217,31.8777292576419,24.0659873847647,44974,82.6666666666667,100
"Missouri","Wright",6707,1170,5830,1953,13760,95.5381434323648,0.614865600174121,1.6541517031233,0.963108063989553,51.0120796604636,37.4523887256502,18.6581782566112,30581,88.8047680412371,76.625033218177
"Missouri","St. Louis City",20832,104235,22943,118780,241700,42.738980476537,47.7638198905167,3.86545581115717,6.34275227035408,51.6609182672531,41.1413473404424,11.4267632819669,36809,66.9925789006524,0.000313190977594317
"Montana","Beaverhead",3353,1143,3289,1371,7410,91.5960072984866,0.085864548674466,3.84243855318236,4.13223140495868,50.1019641515509,37.1900826446281,20.0386390469035,38194,69.1352126134735,50.151416828899
"Montana","Big Horn",1853,2094,1667,2882,8655,28.0460118056607,0.0983805055244438,5.2293022551839,1.41516573331315,50.643257151506,50.0681095807477,11.0337520811261,44136,84.2642961390474,71.9082782743879
"Montana","Blaine",1268,1202,1178,1616,4595,46.6939022545014,0.226963231956423,2.39067937660766,1.33151762747768,50.3253139658042,45.090028748676,14.1927674383417,36875,80.4180144314506,100
