party,post_id,shares,likes,total_interactions,ad_group
AfD,540404695989874_2375663082464017,204,616,903,not sponsored
AfD,100028034795100_2380442865319372,0,0,0,not sponsored
AfD,540404695989874_2371927686170890,2645,3687,7240,not sponsored
AfD,540404695989874_2368877253142600,1527,1315,4221,not sponsored
AfD,540404695989874_2366366493393676,2060,3915,6710,not sponsored
AfD,540404695989874_2377810068915985,1301,1925,4460,not sponsored
AfD,540404695989874_2380223802007945,1301,3196,5143,not sponsored
AfD,540404695989874_2368896773140648,514,3973,5161,not sponsored
AfD,540404695989874_2367239509973041,1140,739,3650,not sponsored
AfD,540404695989874_2372188452811480,421,587,1130,not sponsored
AfD,540404695989874_2370240576339601,1886,880,4909,not sponsored
AfD,540404695989874_2362823517081307,344,789,1322,not sponsored
AfD,540404695989874_2365529426810716,567,1731,2952,not sponsored
AfD,540404695989874_2370355819661410,1974,3647,6508,not sponsored
AfD,540404695989874_2381824951847830,4835,6583,13057,not sponsored
AfD,540404695989874_2359351500761842,404,1105,1646,not sponsored
AfD,540404695989874_2371873789509613,904,620,2709,not sponsored
AfD,540404695989874_2348661205164205,1641,858,2955,not sponsored
AfD,540404695989874_2362688317094827,1263,2011,5316,not sponsored
AfD,540404695989874_395277781054049,46,56,119,not sponsored
AfD,540404695989874_2359724690724523,2595,1002,8715,not sponsored
AfD,540404695989874_2367241656639493,1246,2157,4491,not sponsored
AfD,540404695989874_2358118670885125,248,384,1454,not sponsored
AfD,540404695989874_2360811723949153,1221,1222,3204,not sponsored
AfD,540404695989874_2367335603296765,1862,1587,6990,not sponsored
AfD,100035808759947_2379303195433339,0,0,0,not sponsored
AfD,540404695989874_2359668254063500,1281,2692,4922,not sponsored
AfD,540404695989874_2372299032800422,663,661,1418,not sponsored
AfD,540404695989874_2358168427546816,1918,3721,8315,not sponsored
AfD,540404695989874_2374405049256487,2888,1263,10468,not sponsored
AfD,540404695989874_2356418777721781,5761,1593,11424,not sponsored
AfD,540404695989874_2367242169972775,3466,1485,7966,not sponsored
AfD,540404695989874_2363972916966367,774,1517,3280,not sponsored
AfD,540404695989874_2359750714055254,2269,817,7693,not sponsored
AfD,540404695989874_2356419844388341,2349,1254,8459,not sponsored
AfD,540404695989874_349062105953077,1689,3053,9643,not sponsored
AfD,540404695989874_2359385654091760,1264,990,4597,not sponsored
AfD,540404695989874_2350178851679107,2248,1059,5781,not sponsored
AfD,540404695989874_2348450705185255,152,646,881,not sponsored
AfD,540404695989874_2360886350608357,4594,1700,12878,not sponsored
AfD,540404695989874_2366999443330381,3206,1064,10437,not sponsored
AfD,540404695989874_2350106785019647,1414,1287,2923,high
AfD,540404695989874_320279578900610,828,5026,12130,not sponsored
AfD,540404695989874_2349806271716365,1490,3604,5823,not sponsored
AfD,540404695989874_508523669678970,152,451,932,not sponsored
AfD,540404695989874_2352867818076877,322,1892,2452,not sponsored
AfD,540404695989874_2358189210878071,3390,1303,7874,not sponsored
AfD,540404695989874_2349884831708509,2313,1151,6669,not sponsored
AfD,540404695989874_2346691958694463,2394,1082,6150,not sponsored
